,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Hardness,Predict
211,11.6,29.9,0,8571.4,50,50,184.94,0.8764928909999999,0.7436032
211,11.6,29.9,50,8571.4,50,50,164.42,0.779241706,0.7302994
211,11.6,29.9,100,8571.4,50,50,137.03,0.64943128,0.6349941
211,11.6,29.9,150,8571.4,50,50,106.41,0.504312796,0.5193533
211,11.6,29.9,200,8571.4,50,50,104.84,0.49687203799999996,0.48777577
211,11.6,29.9,250,8571.4,50,50,94.8,0.44928909999999994,0.43645352
211,11.6,29.9,300,8571.4,50,50,84.76,0.401706161,0.36894622
211,11.6,29.9,250,8571.4,50,50,76.74,0.36369668200000005,0.38033473
211,11.6,29.9,400,8571.4,50,50,76.39,0.362037915,0.2700408
211,11.6,29.9,440,8571.4,50,50,60.7,0.287677725,0.2028847
211,11.6,29.9,500,8571.4,50,50,45.42,0.215260664,0.13168323
211,11.6,29.9,550,8571.4,50,50,25.29,0.11985782,0.07680434
211,11.6,29.9,600,8571.4,50,50,16.87,0.079952607,0.04997021
211,11.6,29.9,650,8571.4,50,50,6.83,0.032369668,0.031407505
211,11.6,29.9,700,8571.4,50,50,4.06,0.019241706,0.021897316
211,11.6,29.9,750,8571.4,50,50,1.68,0.007962085,0.015312791
211,11.6,29.9,800,8571.4,50,50,0.0,0.0,0.010802507
211,11.6,29.9,850,8571.4,50,50,0.0,0.0,0.0078108013
211,11.6,29.9,900,8571.4,50,50,0.0,0.0,0.0056428313
211,11.6,29.9,950,8571.4,50,50,0.0,0.0,0.004074186
211,11.6,29.9,1000,8571.4,50,50,0.0,0.0,0.0029402375
211,11.6,29.9,0,0.0,0,0,0.0,0.0,0.002025485
211,11.6,29.9,200,0.0,0,0,0.0,0.0,0.02645418
211,11.6,29.9,400,0.0,0,0,0.0,0.0,0.0065395534
211,11.6,29.9,600,0.0,0,0,0.0,0.0,0.0017952919
211,11.6,29.9,800,0.0,0,0,0.0,0.0,0.00049227476
211,11.6,29.9,1000,0.0,0,0,0.0,0.0,0.0001361072
211,11.6,29.9,1200,0.0,0,0,0.0,0.0,3.758073e-05
