,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Residual Stress,Predict
0,185,9.42,16.35,50,20000.0,120,50,-1096.60319,-1073.4989
1,185,9.42,16.35,150,20000.0,120,50,-806.0418452,-707.0007
2,185,9.42,16.35,250,20000.0,120,50,-570.3877726,-484.1669
3,185,9.42,16.35,350,20000.0,120,50,-393.7066416,-365.0622
4,185,9.42,16.35,450,20000.0,120,50,-273.3368343,-270.7385
5,185,9.42,16.35,550,20000.0,120,50,-199.883917,-211.48994
6,185,9.42,16.35,650,20000.0,120,50,-163.9645118,-152.99756
7,185,9.42,16.35,750,20000.0,120,50,-140.1094497,-116.07237
8,185,9.42,16.35,850,20000.0,120,50,-113.56789479999999,-110.732
9,185,9.42,16.35,950,20000.0,120,50,-88.37787789,-90.0853
10,185,9.42,16.35,1050,20000.0,120,50,-59.16364943,-60.706345
11,185,9.42,16.35,1150,20000.0,120,50,-35.31135126,-30.684273
12,185,9.42,16.35,1250,20000.0,120,50,-8.761504657,-0.65349615
13,185,9.42,16.35,1350,20000.0,120,50,7.047898067999999,20.412714
14,185,9.42,16.35,1450,20000.0,120,50,25.543793700000002,15.957581
15,185,9.42,16.35,1550,20000.0,120,50,43.98993947,11.502641
16,250,17.62,18.84,0,5714.3,70,30,-1882.9172370000001,-1596.0299
17,250,17.62,18.84,5,5714.3,70,30,-1798.170943,-1575.7374
18,250,17.62,18.84,15,5714.3,70,30,-1757.664959,-1518.0903
19,250,17.62,18.84,20,5714.3,70,30,-1647.132232,-1487.5801
20,250,17.62,18.84,40,5714.3,70,30,-1437.11733,-1358.5171
21,250,17.62,18.84,70,5714.3,70,30,-1179.231225,-1145.0194
22,250,17.62,18.84,90,5714.3,70,30,-983.9739795,-1001.5676
23,250,17.62,18.84,100,5714.3,70,30,-862.4233640000001,-926.67566
24,250,17.62,18.84,185,5714.3,70,30,-368.81757749999997,-263.98343
25,250,17.62,18.84,265,5714.3,70,30,6.8412708129999995,213.33958
26,250,17.62,18.84,340,5714.3,70,30,279.3271684,480.124
27,250,17.62,18.84,415,5714.3,70,30,662.3675668999999,603.1177
28,250,17.62,18.84,515,5714.3,70,30,658.3773926,631.1639
29,250,17.62,18.84,600,5714.3,70,30,558.6175923999999,557.3447
30,250,17.62,18.84,680,5714.3,70,30,492.02305369999993,510.66232
31,185,9.42,16.35,0,0.0,0,0,0.0,8.243835
32,185,9.42,16.35,200,0.0,0,0,0.0,-8.123735
33,185,9.42,16.35,400,0.0,0,0,0.0,1.1967528
34,185,9.42,16.35,600,0.0,0,0,0.0,-2.025762
35,185,9.42,16.35,800,0.0,0,0,0.0,-1.9386277
36,185,9.42,16.35,1000,0.0,0,0,0.0,-1.8513256
37,185,9.42,16.35,1200,0.0,0,0,0.0,-1.764154
38,185,9.42,16.35,1400,0.0,0,0,0.0,4.1419916
39,185,9.42,16.35,1600,0.0,0,0,0.0,7.690049
40,185,9.42,16.35,1800,0.0,0,0,0.0,10.581282
41,185,9.42,16.35,2000,0.0,0,0,0.0,13.661996
42,250,17.62,18.84,0,0.0,0,0,0.0,-15.8802185
43,250,17.62,18.84,200,0.0,0,0,0.0,-0.46915954
44,250,17.62,18.84,400,0.0,0,0,0.0,-10.111803
45,250,17.62,18.84,600,0.0,0,0,0.0,5.559235
46,250,17.62,18.84,800,0.0,0,0,0.0,7.1300306
47,250,17.62,18.84,1000,0.0,0,0,0.0,3.0502229
48,250,17.62,18.84,1200,0.0,0,0,0.0,3.65845
49,250,17.62,18.84,1400,0.0,0,0,0.0,4.2668624
50,250,17.62,18.84,1600,0.0,0,0,0.0,4.875088
51,250,17.62,18.84,1800,0.0,0,0,0.0,5.483203
52,250,17.62,18.84,2000,0.0,0,0,0.0,11.629447
53,211,11.6,29.9,0,8571.4,50,50,-965.0,-697.10223
54,211,11.6,29.9,25,8571.4,50,50,-741.8372491,-565.5654
55,211,11.6,29.9,50,8571.4,50,50,-554.0228053,-430.64355
56,211,11.6,29.9,75,8571.4,50,50,-412.0354238,-296.76086
57,211,11.6,29.9,100,8571.4,50,50,-247.14118369999997,-184.96642
58,211,11.6,29.9,125,8571.4,50,50,-125.5339892,-85.354866
59,211,11.6,29.9,150,8571.4,50,50,-121.0811753,6.985491
60,211,11.6,29.9,175,8571.4,50,50,-19.85083147,95.13597
61,211,11.6,29.9,200,8571.4,50,50,119.57985190000001,178.97192
62,211,11.6,29.9,225,8571.4,50,50,134.2260956,218.81784
63,211,11.6,29.9,250,8571.4,50,50,176.88592169999998,247.77422
64,211,11.6,29.9,0,0.0,0,0,0.0,22.959139
65,211,11.6,29.9,200,0.0,0,0,0.0,34.699837
66,211,11.6,29.9,400,0.0,0,0,0.0,13.485516
67,211,11.6,29.9,600,0.0,0,0,0.0,-0.3772473
68,211,11.6,29.9,800,0.0,0,0,0.0,-1.3685281
69,211,11.6,29.9,1000,0.0,0,0,0.0,-1.2814497
70,211,11.6,29.9,1200,0.0,0,0,0.0,-1.1942219
71,211,11.6,29.9,1400,0.0,0,0,0.0,-1.107013
72,211,11.6,29.9,1600,0.0,0,0,0.0,-1.0198783
73,211,11.6,29.9,1800,0.0,0,0,0.0,0.71484005
74,211,11.6,29.9,2000,0.0,0,0,0.0,6.8747015
75,684,9.66,17.42,0,0.0,0,0,0.0,62.93733
76,684,9.66,17.42,200,0.0,0,0,0.0,18.245619
77,684,9.66,17.42,400,0.0,0,0,0.0,-9.619458
78,684,9.66,17.42,600,0.0,0,0,0.0,-7.8581996
79,684,9.66,17.42,800,0.0,0,0,0.0,2.1153624
80,684,9.66,17.42,1000,0.0,0,0,0.0,2.199479
81,684,9.66,17.42,1200,0.0,0,0,0.0,-0.98195493
82,684,9.66,17.42,1400,0.0,0,0,0.0,-1.5297587
83,684,9.66,17.42,1600,0.0,0,0,0.0,1.3616247
84,684,9.66,17.42,1800,0.0,0,0,0.0,4.253154
85,684,9.66,17.42,2000,0.0,0,0,0.0,7.14441
86,314,17.62,18.84,0,8571.4,50,50,-1324.0,-1450.1919
87,684,9.66,17.42,0,40000.0,20,8,-1209.793734,-1105.6997
88,684,9.66,17.42,10,40000.0,20,8,-1218.015666,-1034.3229
89,684,9.66,17.42,30,40000.0,20,8,-1087.467363,-884.9781
90,684,9.66,17.42,50,40000.0,20,8,-813.3159268999999,-728.0454
