,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Residual Stress,Predict
0,185,9.42,16.35,50,20000.0,120,50,-1096.60319,-1078.8506
1,185,9.42,16.35,150,20000.0,120,50,-806.0418452,-769.204
2,185,9.42,16.35,250,20000.0,120,50,-570.3877726,-553.9366
3,185,9.42,16.35,350,20000.0,120,50,-393.7066416,-329.74664
4,185,9.42,16.35,450,20000.0,120,50,-273.3368343,-234.49626
5,185,9.42,16.35,550,20000.0,120,50,-199.883917,-203.19003
6,185,9.42,16.35,650,20000.0,120,50,-163.9645118,-151.16858
7,185,9.42,16.35,750,20000.0,120,50,-140.1094497,-125.81354
8,185,9.42,16.35,850,20000.0,120,50,-113.56789479999999,-100.43258
9,185,9.42,16.35,950,20000.0,120,50,-88.37787789,-75.0351
10,185,9.42,16.35,1050,20000.0,120,50,-59.16364943,-49.657635
11,185,9.42,16.35,1150,20000.0,120,50,-35.31135126,-24.269955
12,185,9.42,16.35,1250,20000.0,120,50,-8.761504657,1.1227463
13,185,9.42,16.35,1350,20000.0,120,50,7.047898067999999,26.51529
14,185,9.42,16.35,1450,20000.0,120,50,25.543793700000002,58.876263
15,185,9.42,16.35,1550,20000.0,120,50,43.98993947,67.20592
16,250,17.62,18.84,0,5714.3,70,30,-1882.9172370000001,-1573.4357
17,250,17.62,18.84,5,5714.3,70,30,-1798.170943,-1541.6624
18,250,17.62,18.84,15,5714.3,70,30,-1757.664959,-1475.6383
19,250,17.62,18.84,20,5714.3,70,30,-1647.132232,-1440.6356
20,250,17.62,18.84,40,5714.3,70,30,-1437.11733,-1284.9424
21,250,17.62,18.84,70,5714.3,70,30,-1179.231225,-1007.37524
22,250,17.62,18.84,90,5714.3,70,30,-983.9739795,-815.1092
23,250,17.62,18.84,100,5714.3,70,30,-862.4233640000001,-728.5114
24,250,17.62,18.84,185,5714.3,70,30,-368.81757749999997,-199.58675
25,250,17.62,18.84,265,5714.3,70,30,6.8412708129999995,116.10365
26,250,17.62,18.84,340,5714.3,70,30,279.3271684,396.73752
27,250,17.62,18.84,415,5714.3,70,30,662.3675668999999,581.5165
28,250,17.62,18.84,515,5714.3,70,30,658.3773926,593.2218
29,250,17.62,18.84,600,5714.3,70,30,558.6175923999999,582.1063
