,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Hardness,Predict
684,9.66,17.42,675,40000.0,40,16,0.0,0.0,0.016531408
684,9.66,17.42,725,40000.0,40,16,0.0,0.0,0.014286876
684,9.66,17.42,775,40000.0,40,16,0.0,0.0,0.012343198
684,9.66,17.42,825,40000.0,40,16,0.0,0.0,0.010661066
684,9.66,17.42,875,40000.0,40,16,0.0,0.0,0.009206176
684,9.66,17.42,925,40000.0,40,16,0.0,0.0,0.007948101
684,9.66,17.42,975,40000.0,40,16,0.0,0.0,0.0067659616
684,9.66,17.42,1025,40000.0,40,16,0.0,0.0,0.0049830377
684,9.66,17.42,0,0.0,0,0,0.0,0.0,0.13319874
684,9.66,17.42,200,0.0,0,0,0.0,0.0,0.06762266
684,9.66,17.42,400,0.0,0,0,0.0,0.0,0.010007054
684,9.66,17.42,600,0.0,0,0,0.0,0.0,0.0014340878
684,9.66,17.42,800,0.0,0,0,0.0,0.0,0.0002040565
684,9.66,17.42,1000,0.0,0,0,0.0,0.0,2.9057264e-05
684,9.66,17.42,1200,0.0,0,0,0.0,0.0,4.1127205e-06
684,9.66,17.42,1400,0.0,0,0,0.0,0.0,5.662441e-07
684,9.66,17.42,1600,0.0,0,0,0.0,0.0,0.0
684,9.66,17.42,1800,0.0,0,0,0.0,0.0,0.0
684,9.66,17.42,2000,0.0,0,0,0.0,0.0,0.0
190,9.42,16.35,0,0.0,0,0,0.0,0.0,0.1394194
190,9.42,16.35,200,0.0,0,0,0.0,0.0,0.06835529
190,9.42,16.35,400,0.0,0,0,0.0,0.0,0.010114551
190,9.42,16.35,600,0.0,0,0,0.0,0.0,0.0014495552
190,9.42,16.35,800,0.0,0,0,0.0,0.0,0.00020617247
190,9.42,16.35,1000,0.0,0,0,0.0,0.0,2.9325485e-05
190,9.42,16.35,1200,0.0,0,0,0.0,0.0,4.172325e-06
190,9.42,16.35,1400,0.0,0,0,0.0,0.0,6.2584877e-07
190,9.42,16.35,1600,0.0,0,0,0.0,0.0,8.940697e-08
190,9.42,16.35,1800,0.0,0,0,0.0,0.0,0.0
190,9.42,16.35,2000,0.0,0,0,0.0,0.0,0.0
200,9.42,16.35,50,20000.0,120,50,74.17,0.37085,0.391181
200,9.42,16.35,150,20000.0,120,50,64.64,0.3232,0.270041
200,9.42,16.35,250,20000.0,120,50,50.3,0.2515,0.18114945
200,9.42,16.35,350,20000.0,120,50,41.84,0.2092,0.13615423
200,9.42,16.35,450,20000.0,120,50,11.45,0.05725,0.09427869
200,9.42,16.35,550,20000.0,120,50,3.0,0.015,0.055864304
200,9.42,16.35,650,20000.0,120,50,1.5,0.0075,0.026585847
200,9.42,16.35,750,20000.0,120,50,0.0,0.0,0.01245591
200,9.42,16.35,850,20000.0,120,50,0.64,0.0032,0.0059236586
200,9.42,16.35,950,20000.0,120,50,0.0,0.0,0.0027098954
200,9.42,16.35,1050,20000.0,120,50,0.0,0.0,0.0011546612
200,9.42,16.35,1150,20000.0,120,50,0.0,0.0,0.00045484304
200,9.42,16.35,1250,20000.0,120,50,0.0,0.0,0.0001809073
200,9.42,16.35,1350,20000.0,120,50,0.0,0.0,7.342647e-05
200,9.42,16.35,1500,20000.0,120,50,0.0,0.0,1.8272201e-05
