,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,epoch
0,0.10131175474100212,0.27454838156700134,0.10131175816059113,0.0708300376663337,0.24279043078422546,0.07083003222942352,0
1,0.025309385575410973,0.09925886243581772,0.025309383869171143,0.06419818052971685,0.23183409869670868,0.06419818103313446,1
2,0.02448083316722444,0.08669352531433105,0.024480832740664482,0.06119505336155762,0.22647419571876526,0.06119505316019058,2
3,0.023371437855974862,0.08053088188171387,0.023371435701847076,0.06019867916364927,0.2246122807264328,0.06019867956638336,3
4,0.022003918118376768,0.07599495351314545,0.022003918886184692,0.059526552823749745,0.22332191467285156,0.05952655151486397,4
5,0.020371347381413437,0.07057872414588928,0.020371345803141594,0.05908070464391966,0.22239957749843597,0.05908070504665375,5
6,0.019510707540707734,0.06807773560285568,0.019510706886649132,0.05905198587759121,0.22225885093212128,0.059051983058452606,6
7,0.01914716551510461,0.06949785351753235,0.01914716511964798,0.05891258883717898,0.2218993455171585,0.05891258642077446,7
8,0.018813521124934424,0.06949461996555328,0.018813520669937134,0.05838762646591341,0.2207699865102768,0.058387625962495804,8
9,0.018312514074438232,0.0674617737531662,0.01831251196563244,0.057757902991127326,0.21940365433692932,0.0577579066157341,9
10,0.017856708676234342,0.06536784768104553,0.01785670965909958,0.057387190896111565,0.21854344010353088,0.05738719180226326,10
11,0.017485081012012394,0.06402990221977234,0.017485082149505615,0.056972422209140415,0.21755053102970123,0.05697242170572281,11
12,0.017023873348802128,0.06335016340017319,0.017023872584104538,0.05712546669953578,0.21771995723247528,0.05712546408176422,12
13,0.016443812430530558,0.06286991387605667,0.016443811357021332,0.0571016741765512,0.21749718487262726,0.05710167437791824,13
14,0.015894900059428792,0.06300243735313416,0.015894901007413864,0.05677599852552285,0.21680133044719696,0.05677599459886551,14
15,0.015323505573372805,0.06212016940116882,0.015323503874242306,0.05622844075834429,0.215600848197937,0.05622844398021698,15
16,0.01479911872448812,0.06084616854786873,0.014799118973314762,0.0549584574796058,0.2128048539161682,0.05495845898985863,16
17,0.014230173343760566,0.06019144132733345,0.014230173081159592,0.05448515944786974,0.21160419285297394,0.05448516085743904,17
18,0.013735856583612111,0.059939730912446976,0.013735856860876083,0.05396429247952796,0.21028178930282593,0.053964294493198395,18
19,0.013232073654200285,0.059254784137010574,0.013232074677944183,0.053041524581007055,0.207962766289711,0.053041521459817886,19
20,0.012817603900303481,0.05766817182302475,0.01281760260462761,0.05234996974468231,0.20605425536632538,0.05234996974468231,20
21,0.012319991539698094,0.057119060307741165,0.012319991365075111,0.05232772633836076,0.20566527545452118,0.052327726036310196,21
22,0.011888131977393086,0.05755935236811638,0.011888132430613041,0.05203337101517497,0.20458929240703583,0.05203337222337723,22
23,0.011594906762128567,0.058391083031892776,0.011594907380640507,0.052198367243683014,0.2047298550605774,0.052198369055986404,23
24,0.010968656078085857,0.05707966536283493,0.010968656279146671,0.05234202380115922,0.2048872411251068,0.05234202370047569,24
25,0.010340143577195704,0.05446486547589302,0.010340142995119095,0.05198621437759013,0.20380133390426636,0.051986213773489,25
26,0.009915071995688944,0.053308285772800446,0.009915071539580822,0.0517016034069899,0.20277680456638336,0.05170160531997681,26
27,0.00943725275817108,0.05258189141750336,0.009437252767384052,0.05150681613264857,0.20185619592666626,0.05150681734085083,27
28,0.009056016333571826,0.0518907830119133,0.009056015871465206,0.05115065703520904,0.20039744675159454,0.05115065723657608,28
29,0.008671514502413685,0.05138552561402321,0.008671514689922333,0.05035488216860874,0.19775421917438507,0.05035488307476044,29
30,0.008369622540456699,0.04985431209206581,0.008369622752070427,0.04939445817994105,0.19452621042728424,0.049394458532333374,30
31,0.008031929331255778,0.0485822968184948,0.008031928911805153,0.04883760656859424,0.19229798018932343,0.048837605863809586,31
32,0.00766055911818505,0.0477319173514843,0.0076605589129030704,0.04848726889168894,0.19051840901374817,0.04848726838827133,32
33,0.0073258551896699395,0.047151751816272736,0.007325855083763599,0.04813732287368259,0.1886254847049713,0.048137322068214417,33
34,0.006961827735125109,0.046352069824934006,0.006961827632039785,0.047535660903196074,0.18562360107898712,0.04753566160798073,34
35,0.006712465930318208,0.045496825128793716,0.006712466478347778,0.04683639662894043,0.18147090077400208,0.04683639481663704,35
36,0.006395948738306725,0.04448353871703148,0.006395948585122824,0.04650736237699921,0.17901073396205902,0.04650736227631569,36
37,0.006176284242435607,0.0444202795624733,0.006176284048706293,0.04623559661008216,0.1767835021018982,0.046235598623752594,37
38,0.005985249096940037,0.04410136491060257,0.005985249299556017,0.045911465544958376,0.17449864745140076,0.04591146856546402,38
39,0.005762355757578639,0.04208458587527275,0.0057623558677732944,0.04560096687763124,0.17213939130306244,0.04560096934437752,39
40,0.005663446303570771,0.04176238924264908,0.005663446616381407,0.045512243601921444,0.1706663817167282,0.04551224410533905,40
41,0.005459387687155763,0.04069792479276657,0.0054593877866864204,0.04510226140956621,0.16736166179180145,0.04510226100683212,41
42,0.0053703864413857435,0.03981754183769226,0.005370386876165867,0.04481554675746609,0.1642571985721588,0.0448155477643013,42
43,0.005261586840399577,0.039170343428850174,0.005261586979031563,0.044761365405409724,0.1622583419084549,0.04476136341691017,43
44,0.005146109393174859,0.03858795017004013,0.005146109499037266,0.04479177507597047,0.15981459617614746,0.044791776686906815,44
45,0.005012697465575606,0.037992365658283234,0.005012698005884886,0.04487844330032129,0.15776607394218445,0.04487844556570053,45
46,0.004854693880859222,0.03755950927734375,0.0048546940088272095,0.0449357077580046,0.15564750134944916,0.04493570700287819,46
