,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Hardness,Predict
211,11.6,29.9,0,8571.4,50,50,184.94,0.8764928909999999,0.7225846
211,11.6,29.9,50,8571.4,50,50,164.42,0.779241706,0.7054308
211,11.6,29.9,100,8571.4,50,50,137.03,0.64943128,0.621638
211,11.6,29.9,150,8571.4,50,50,106.41,0.504312796,0.51447034
211,11.6,29.9,200,8571.4,50,50,104.84,0.49687203799999996,0.5041364
211,11.6,29.9,250,8571.4,50,50,94.8,0.44928909999999994,0.4485008
211,11.6,29.9,300,8571.4,50,50,84.76,0.401706161,0.40429652
211,11.6,29.9,250,8571.4,50,50,76.74,0.36369668200000005,0.3948042
211,11.6,29.9,400,8571.4,50,50,76.39,0.362037915,0.32523018
211,11.6,29.9,440,8571.4,50,50,60.7,0.287677725,0.25395736
211,11.6,29.9,500,8571.4,50,50,45.42,0.215260664,0.1518318
211,11.6,29.9,550,8571.4,50,50,25.29,0.11985782,0.08149332
211,11.6,29.9,600,8571.4,50,50,16.87,0.079952607,0.04345256
211,11.6,29.9,650,8571.4,50,50,6.83,0.032369668,0.021250606
211,11.6,29.9,700,8571.4,50,50,4.06,0.019241706,0.011667579
211,11.6,29.9,750,8571.4,50,50,1.68,0.007962085,0.006421894
211,11.6,29.9,800,8571.4,50,50,0.0,0.0,0.0035701096
211,11.6,29.9,850,8571.4,50,50,0.0,0.0,0.0020419657
211,11.6,29.9,900,8571.4,50,50,0.0,0.0,0.001167208
211,11.6,29.9,950,8571.4,50,50,0.0,0.0,0.0006669462
211,11.6,29.9,1000,8571.4,50,50,0.0,0.0,0.00038093328
211,11.6,29.9,0,0.0,0,0,0.0,0.0,0.0032880902
211,11.6,29.9,200,0.0,0,0,0.0,0.0,0.005421579
211,11.6,29.9,400,0.0,0,0,0.0,0.0,0.00063204765
211,11.6,29.9,600,0.0,0,0,0.0,0.0,7.176399e-05
211,11.6,29.9,800,0.0,0,0,0.0,0.0,6.5267086e-06
211,11.6,29.9,1000,0.0,0,0,0.0,0.0,5.662441e-07
211,11.6,29.9,1200,0.0,0,0,0.0,0.0,8.940697e-08
211,11.6,29.9,1400,0.0,0,0,0.0,0.0,0.0
211,11.6,29.9,1600,0.0,0,0,0.0,0.0,0.0
211,11.6,29.9,1800,0.0,0,0,0.0,0.0,0.0
211,11.6,29.9,2000,0.0,0,0,0.0,0.0,0.0
314,17.62,18.84,0,8571.4,50,50,142.0,0.452229299,0.5719242
314,17.62,18.84,0,0.0,0,0,0.0,0.0,0.008811116
250,17.62,18.84,0,5714.3,80,30,94.0,0.376,0.38684157
250,17.62,18.84,50,5714.3,80,30,93.0,0.37200000000000005,0.43605426
250,17.62,18.84,100,5714.3,80,30,80.0,0.32,0.381961
250,17.62,18.84,150,5714.3,80,30,52.0,0.20800000000000002,0.285804
250,17.62,18.84,200,5714.3,80,30,30.0,0.12,0.20879468
250,17.62,18.84,250,5714.3,80,30,6.0,0.024,0.12884396
250,17.62,18.84,300,5714.3,80,30,8.0,0.032,0.10111609
250,17.62,18.84,350,5714.3,80,30,0.0,0.0,0.0623686
250,17.62,18.84,400,5714.3,80,30,0.0,0.0,0.038268
250,17.62,18.84,450,5714.3,80,30,0.0,0.0,0.022219539
250,17.62,18.84,500,5714.3,80,30,0.0,0.0,0.012811631
250,17.62,18.84,550,5714.3,80,30,0.0,0.0,0.0073570907
250,17.62,18.84,600,5714.3,80,30,0.0,0.0,0.0042149127
250,17.62,18.84,700,5714.3,80,30,0.0,0.0,0.0013786554
250,17.62,18.84,800,5714.3,80,30,0.0,0.0,0.00045001507
250,17.62,18.84,900,5714.3,80,30,0.0,0.0,0.00014686584
250,17.62,18.84,1000,5714.3,80,30,0.0,0.0,4.7922134e-05
250,17.62,18.84,1100,5714.3,80,30,0.0,0.0,1.5556812e-05
250,17.62,18.84,1200,5714.3,80,30,0.0,0.0,4.61936e-06
250,17.62,18.84,1300,5714.3,80,30,0.0,0.0,1.3709068e-06
250,17.62,18.84,1400,5714.3,80,30,0.0,0.0,4.172325e-07
250,17.62,18.84,1500,5714.3,80,30,0.0,0.0,1.1920929e-07
250,17.62,18.84,1600,5714.3,80,30,0.0,0.0,2.9802322e-08
250,17.62,18.84,1700,5714.3,80,30,0.0,0.0,0.0
250,17.62,18.84,1800,5714.3,80,30,0.0,0.0,0.0
250,17.62,18.84,1900,5714.3,80,30,0.0,0.0,0.0
250,17.62,18.84,2000,5714.3,80,30,0.0,0.0,0.0
250,17.62,18.84,0,0.0,0,0,0.0,0.0,0.008811116
250,17.62,18.84,200,0.0,0,0,0.0,0.0,0.00632447
250,17.62,18.84,400,0.0,0,0,0.0,0.0,0.00070115924
250,17.62,18.84,600,0.0,0,0,0.0,0.0,6.9350004e-05
250,17.62,18.84,800,0.0,0,0,0.0,0.0,6.109476e-06
250,17.62,18.84,1000,0.0,0,0,0.0,0.0,5.364418e-07
250,17.62,18.84,1200,0.0,0,0,0.0,0.0,2.9802322e-08
250,17.62,18.84,1400,0.0,0,0,0.0,0.0,0.0
250,17.62,18.84,1600,0.0,0,0,0.0,0.0,0.0
250,17.62,18.84,1800,0.0,0,0,0.0,0.0,0.0
250,17.62,18.84,2000,0.0,0,0,0.0,0.0,0.0
684,9.66,17.42,0,40000.0,40,16,300.06,0.438684211,0.42595395
684,9.66,17.42,25,40000.0,40,16,300.74,0.43967836299999996,0.4464364
684,9.66,17.42,75,40000.0,40,16,274.37,0.40112573100000004,0.41181028
684,9.66,17.42,125,40000.0,40,16,172.54,0.252251462,0.20816073
684,9.66,17.42,175,40000.0,40,16,107.77,0.15755848,0.1250265
684,9.66,17.42,225,40000.0,40,16,55.7,0.081432749,0.07406402
684,9.66,17.42,275,40000.0,40,16,0.0,0.0,0.040739805
684,9.66,17.42,325,40000.0,40,16,0.0,0.0,0.04057333
684,9.66,17.42,375,40000.0,40,16,0.0,0.0,0.037864357
684,9.66,17.42,425,40000.0,40,16,0.0,0.0,0.03532952
684,9.66,17.42,475,40000.0,40,16,0.0,0.0,0.032706827
684,9.66,17.42,525,40000.0,40,16,0.0,0.0,0.028904498
684,9.66,17.42,575,40000.0,40,16,0.0,0.0,0.02344969
684,9.66,17.42,625,40000.0,40,16,0.0,0.0,0.019560874
684,9.66,17.42,675,40000.0,40,16,0.0,0.0,0.017216176
684,9.66,17.42,725,40000.0,40,16,0.0,0.0,0.015272468
684,9.66,17.42,775,40000.0,40,16,0.0,0.0,0.013595611
684,9.66,17.42,825,40000.0,40,16,0.0,0.0,0.012100577
684,9.66,17.42,875,40000.0,40,16,0.0,0.0,0.010997385
684,9.66,17.42,925,40000.0,40,16,0.0,0.0,0.010134637
684,9.66,17.42,975,40000.0,40,16,0.0,0.0,0.009068638
684,9.66,17.42,1025,40000.0,40,16,0.0,0.0,0.008081704
684,9.66,17.42,0,0.0,0,0,0.0,0.0,0.010225028
684,9.66,17.42,200,0.0,0,0,0.0,0.0,0.0065523684
684,9.66,17.42,400,0.0,0,0,0.0,0.0,0.0007214248
684,9.66,17.42,600,0.0,0,0,0.0,0.0,7.036328e-05
684,9.66,17.42,800,0.0,0,0,0.0,0.0,6.2286854e-06
