,Hard-U,Fe %,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Predict,Gradient
70,200.0,11.6,29.9,70.0,8571.4,50.0,50.0,359.0959,-0.42620849609375
71,200.0,11.6,29.9,71.0,8571.4,50.0,50.0,358.6703,-0.42559814453125
72,200.0,11.6,29.9,72.0,8571.4,50.0,50.0,358.24536,-0.4249267578125
73,200.0,11.6,29.9,73.0,8571.4,50.0,50.0,357.82098,-0.42437744140625
74,200.0,11.6,29.9,74.0,8571.4,50.0,50.0,357.39728,-0.4237060546875
75,200.0,11.6,29.9,75.0,8571.4,50.0,50.0,356.97412,-0.42315673828125
76,200.0,11.6,29.9,76.0,8571.4,50.0,50.0,356.55164,-0.4224853515625
77,200.0,11.6,29.9,77.0,8571.4,50.0,50.0,356.12976,-0.421875
78,200.0,11.6,29.9,78.0,8571.4,50.0,50.0,355.7085,-0.4212646484375
79,200.0,11.6,29.9,79.0,8571.4,50.0,50.0,355.28784,-0.420654296875
80,200.0,11.6,29.9,80.0,8571.4,50.0,50.0,354.86783,-0.420013427734375
81,200.0,11.6,29.9,81.0,8571.4,50.0,50.0,354.44846,-0.41937255859375
82,200.0,11.6,29.9,82.0,8571.4,50.0,50.0,354.02966,-0.418792724609375
83,200.0,11.6,29.9,83.0,8571.4,50.0,50.0,353.61157,-0.4180908203125
84,200.0,11.6,29.9,84.0,8571.4,50.0,50.0,353.19406,-0.417510986328125
85,200.0,11.6,29.9,85.0,8571.4,50.0,50.0,352.7772,-0.4168701171875
86,200.0,11.6,29.9,86.0,8571.4,50.0,50.0,352.36096,-0.416229248046875
87,200.0,11.6,29.9,87.0,8571.4,50.0,50.0,351.94537,-0.41558837890625
88,200.0,11.6,29.9,88.0,8571.4,50.0,50.0,351.5304,-0.41497802734375
89,200.0,11.6,29.9,89.0,8571.4,50.0,50.0,351.11615,-0.41424560546875
90,200.0,11.6,29.9,90.0,8571.4,50.0,50.0,350.70245,-0.4136962890625
91,200.0,11.6,29.9,91.0,8571.4,50.0,50.0,350.28943,-0.41302490234375
92,200.0,11.6,29.9,92.0,8571.4,50.0,50.0,349.87708,-0.412353515625
93,200.0,11.6,29.9,93.0,8571.4,50.0,50.0,349.4582,-0.41888427734375
94,200.0,11.6,29.9,94.0,8571.4,50.0,50.0,349.0335,-0.4246826171875
95,200.0,11.6,29.9,95.0,8571.4,50.0,50.0,348.6095,-0.42401123046875
96,200.0,11.6,29.9,96.0,8571.4,50.0,50.0,348.18616,-0.42333984375
97,200.0,11.6,29.9,97.0,8571.4,50.0,50.0,347.76358,-0.422576904296875
98,200.0,11.6,29.9,98.0,8571.4,50.0,50.0,347.34167,-0.421905517578125
99,200.0,11.6,29.9,99.0,8571.4,50.0,50.0,346.92047,-0.42120361328125
100,200.0,11.6,29.9,100.0,8571.4,50.0,50.0,346.49994,-0.4205322265625
101,200.0,11.6,29.9,101.0,8571.4,50.0,50.0,346.08017,-0.419769287109375
102,200.0,11.6,29.9,102.0,8571.4,50.0,50.0,345.6611,-0.4190673828125
103,200.0,11.6,29.9,103.0,8571.4,50.0,50.0,345.24274,-0.418365478515625
104,200.0,11.6,29.9,104.0,8571.4,50.0,50.0,344.82504,-0.417694091796875
105,200.0,11.6,29.9,105.0,8571.4,50.0,50.0,344.40808,-0.416961669921875
106,200.0,11.6,29.9,106.0,8571.4,50.0,50.0,343.99182,-0.416259765625
107,200.0,11.6,29.9,107.0,8571.4,50.0,50.0,343.57632,-0.415496826171875
108,200.0,11.6,29.9,108.0,8571.4,50.0,50.0,343.1615,-0.414825439453125
109,200.0,11.6,29.9,109.0,8571.4,50.0,50.0,342.74744,-0.4140625
110,200.0,11.6,29.9,110.0,8571.4,50.0,50.0,342.33405,-0.41339111328125
111,200.0,11.6,29.9,111.0,8571.4,50.0,50.0,341.92142,-0.412628173828125
112,200.0,11.6,29.9,112.0,8571.4,50.0,50.0,341.50952,-0.411895751953125
113,200.0,11.6,29.9,113.0,8571.4,50.0,50.0,341.0983,-0.411224365234375
114,200.0,11.6,29.9,114.0,8571.4,50.0,50.0,340.6878,-0.410491943359375
115,200.0,11.6,29.9,115.0,8571.4,50.0,50.0,340.27808,-0.40972900390625
116,200.0,11.6,29.9,116.0,8571.4,50.0,50.0,339.86905,-0.409027099609375
117,200.0,11.6,29.9,117.0,8571.4,50.0,50.0,339.46075,-0.408294677734375
118,200.0,11.6,29.9,118.0,8571.4,50.0,50.0,339.0532,-0.407562255859375
119,200.0,11.6,29.9,119.0,8571.4,50.0,50.0,338.6464,-0.40679931640625
120,200.0,11.6,29.9,120.0,8571.4,50.0,50.0,338.2403,-0.406097412109375
121,200.0,11.6,29.9,121.0,8571.4,50.0,50.0,337.83493,-0.405364990234375
122,200.0,11.6,29.9,122.0,8571.4,50.0,50.0,337.43033,-0.40460205078125
123,200.0,11.6,29.9,123.0,8571.4,50.0,50.0,337.02643,-0.403900146484375
124,200.0,11.6,29.9,124.0,8571.4,50.0,50.0,336.6233,-0.40313720703125
