,Yield Strengh,UTS,Cr %,Depth,Strikes/mm2,Static Force,Amplitude,Residual Stress,Predict
0,185,9.42,16.35,50,20000.0,120,50,-1096.60319,-1130.4567
1,185,9.42,16.35,150,20000.0,120,50,-806.0418452,-760.0861
2,185,9.42,16.35,250,20000.0,120,50,-570.3877726,-513.33075
3,185,9.42,16.35,350,20000.0,120,50,-393.7066416,-283.72046
4,185,9.42,16.35,450,20000.0,120,50,-273.3368343,-222.35378
5,185,9.42,16.35,550,20000.0,120,50,-199.883917,-165.43895
6,185,9.42,16.35,650,20000.0,120,50,-163.9645118,-140.22784
7,185,9.42,16.35,750,20000.0,120,50,-140.1094497,-118.56976
8,185,9.42,16.35,850,20000.0,120,50,-113.56789479999999,-96.189926
9,185,9.42,16.35,950,20000.0,120,50,-88.37787789,-72.72089
10,185,9.42,16.35,1050,20000.0,120,50,-59.16364943,-49.238358
11,185,9.42,16.35,1150,20000.0,120,50,-35.31135126,-25.74752
12,185,9.42,16.35,1250,20000.0,120,50,-8.761504657,-2.260701
13,185,9.42,16.35,1350,20000.0,120,50,7.047898067999999,-2.4272954
14,185,9.42,16.35,1450,20000.0,120,50,25.543793700000002,-4.63907
15,185,9.42,16.35,1550,20000.0,120,50,43.98993947,-6.850241
16,250,17.62,18.84,0,5714.3,70,30,-1882.9172370000001,-1588.8772
17,250,17.62,18.84,5,5714.3,70,30,-1798.170943,-1565.7335
18,250,17.62,18.84,15,5714.3,70,30,-1757.664959,-1518.0936
19,250,17.62,18.84,20,5714.3,70,30,-1647.132232,-1493.5945
20,250,17.62,18.84,40,5714.3,70,30,-1437.11733,-1391.0413
21,250,17.62,18.84,70,5714.3,70,30,-1179.231225,-1223.6145
22,250,17.62,18.84,90,5714.3,70,30,-983.9739795,-1103.1617
23,250,17.62,18.84,100,5714.3,70,30,-862.4233640000001,-1040.3921
24,250,17.62,18.84,185,5714.3,70,30,-368.81757749999997,-448.9009
25,250,17.62,18.84,265,5714.3,70,30,6.8412708129999995,63.557713
26,250,17.62,18.84,340,5714.3,70,30,279.3271684,426.57578
27,250,17.62,18.84,415,5714.3,70,30,662.3675668999999,568.5868
28,250,17.62,18.84,515,5714.3,70,30,658.3773926,602.2947
29,250,17.62,18.84,600,5714.3,70,30,558.6175923999999,591.50214
30,250,17.62,18.84,680,5714.3,70,30,492.02305369999993,577.945
31,185,9.42,16.35,0,0.0,0,0,0.0,-12.128871
32,185,9.42,16.35,200,0.0,0,0,0.0,-13.381345
33,185,9.42,16.35,400,0.0,0,0,0.0,-15.541374
34,185,9.42,16.35,600,0.0,0,0,0.0,1.8869427
35,185,9.42,16.35,800,0.0,0,0,0.0,-8.528655
36,185,9.42,16.35,1000,0.0,0,0,0.0,-35.81846
37,185,9.42,16.35,1200,0.0,0,0,0.0,-52.360577
38,185,9.42,16.35,1400,0.0,0,0,0.0,-50.070484
39,185,9.42,16.35,1600,0.0,0,0,0.0,-20.725967
40,185,9.42,16.35,1800,0.0,0,0,0.0,-19.678408
41,185,9.42,16.35,2000,0.0,0,0,0.0,-60.93215
42,250,17.62,18.84,0,0.0,0,0,0.0,11.6353655
43,250,17.62,18.84,200,0.0,0,0,0.0,29.84786
44,250,17.62,18.84,400,0.0,0,0,0.0,24.209276
45,250,17.62,18.84,600,0.0,0,0,0.0,18.570398
46,250,17.62,18.84,800,0.0,0,0,0.0,27.855244
47,250,17.62,18.84,1000,0.0,0,0,0.0,-20.490843
48,250,17.62,18.84,1200,0.0,0,0,0.0,-33.425327
49,250,17.62,18.84,1400,0.0,0,0,0.0,-46.357723
50,250,17.62,18.84,1600,0.0,0,0,0.0,-45.745564
51,250,17.62,18.84,1800,0.0,0,0,0.0,-43.01307
52,250,17.62,18.84,2000,0.0,0,0,0.0,-40.27976
53,211,11.6,29.9,0,8571.4,50,50,-965.0,-875.09753
54,211,11.6,29.9,25,8571.4,50,50,-741.8372491,-709.2228
55,211,11.6,29.9,50,8571.4,50,50,-554.0228053,-536.2672
56,211,11.6,29.9,75,8571.4,50,50,-412.0354238,-357.75787
57,211,11.6,29.9,100,8571.4,50,50,-247.14118369999997,-235.88998
58,211,11.6,29.9,125,8571.4,50,50,-125.5339892,-139.12425
59,211,11.6,29.9,150,8571.4,50,50,-121.0811753,-48.38986
60,211,11.6,29.9,175,8571.4,50,50,-19.85083147,42.47241
61,211,11.6,29.9,200,8571.4,50,50,119.57985190000001,129.76244
62,211,11.6,29.9,225,8571.4,50,50,134.2260956,145.88094
63,211,11.6,29.9,250,8571.4,50,50,176.88592169999998,161.98695
64,211,11.6,29.9,0,0.0,0,0,0.0,8.462532
65,211,11.6,29.9,200,0.0,0,0,0.0,8.448794
66,211,11.6,29.9,400,0.0,0,0,0.0,14.614369
67,211,11.6,29.9,600,0.0,0,0,0.0,8.975368
68,211,11.6,29.9,800,0.0,0,0,0.0,3.3363953
69,211,11.6,29.9,1000,0.0,0,0,0.0,30.26817
70,211,11.6,29.9,1200,0.0,0,0,0.0,1.2121627
71,211,11.6,29.9,1400,0.0,0,0,0.0,-15.334562
72,211,11.6,29.9,1600,0.0,0,0,0.0,-31.880247
73,211,11.6,29.9,1800,0.0,0,0,0.0,-48.422836
74,211,11.6,29.9,2000,0.0,0,0,0.0,-55.300182
75,684,9.66,17.42,0,0.0,0,0,0.0,24.509602
76,684,9.66,17.42,200,0.0,0,0,0.0,-31.3459
77,684,9.66,17.42,400,0.0,0,0,0.0,-8.655034
78,684,9.66,17.42,600,0.0,0,0,0.0,6.163135
79,684,9.66,17.42,800,0.0,0,0,0.0,19.454367
80,684,9.66,17.42,1000,0.0,0,0,0.0,-23.518822
81,684,9.66,17.42,1200,0.0,0,0,0.0,-35.20942
82,684,9.66,17.42,1400,0.0,0,0,0.0,-10.72807
83,684,9.66,17.42,1600,0.0,0,0,0.0,-46.596165
84,684,9.66,17.42,1800,0.0,0,0,0.0,-29.921488
85,684,9.66,17.42,2000,0.0,0,0,0.0,-11.655054
86,314,17.62,18.84,0,8571.4,50,50,-1324.0,-1282.1245
87,684,9.66,17.42,0,40000.0,20,8,-1209.793734,-1245.0718
88,684,9.66,17.42,10,40000.0,20,8,-1218.015666,-1187.3511
89,684,9.66,17.42,30,40000.0,20,8,-1087.467363,-1066.9019
90,684,9.66,17.42,50,40000.0,20,8,-813.3159268999999,-940.07635
91,684,9.66,17.42,75,40000.0,20,8,-567.8851175,-773.3193
92,684,9.66,17.42,100,40000.0,20,8,-270.23498689999997,-598.5892
93,684,9.66,17.42,150,40000.0,20,8,-100.5221932,-239.72063
94,684,9.66,17.42,200,40000.0,20,8,35.24804178,6.978931
95,684,9.66,17.42,250,40000.0,20,8,298.95561360000005,165.41808
96,684,9.66,17.42,400,40000.0,20,8,220.6266319,224.0079
97,684,9.66,17.42,500,40000.0,20,8,199.7389034,234.67651
