Hardness (HV),Fe (%),Cr(%),Depth from surface (um),Number of Strikes,Static Load (N),Amplitude (um),Residual Stress
684,9.66,17.42,1800,0,0,0,0
684,9.66,17.42,2000,0,0,0,0
314,17.62,18.84,0,8571.4,50,50,-1324
684,9.66,17.42,0,40000,20,8,-1209.793734
684,9.66,17.42,10,40000,20,8,-1218.015666
684,9.66,17.42,30,40000,20,8,-1087.467363
684,9.66,17.42,50,40000,20,8,-813.3159269
684,9.66,17.42,75,40000,20,8,-567.8851175
684,9.66,17.42,100,40000,20,8,-270.2349869
684,9.66,17.42,150,40000,20,8,-100.5221932
684,9.66,17.42,200,40000,20,8,35.24804178
684,9.66,17.42,250,40000,20,8,298.9556136
684,9.66,17.42,400,40000,20,8,220.6266319
684,9.66,17.42,500,40000,20,8,199.7389034
250,17.62,18.84,0,5714.3,70,30,-1562.31245
250,17.62,18.84,10,5714.3,70,30,-1532.840686
250,17.62,18.84,20,5714.3,70,30,-1540.24401
250,17.62,18.84,30,5714.3,70,30,-1451.828716
250,17.62,18.84,40,5714.3,70,30,-1300.760066
250,17.62,18.84,50,5714.3,70,30,-1138.649029
250,17.62,18.84,80,5714.3,70,30,-928.6667891
250,17.62,18.84,100,5714.3,70,30,-807.1270609
250,17.62,18.84,130,5714.3,70,30,-685.5846109
250,17.62,18.84,200,5714.3,70,30,-232.5229142
250,17.62,18.84,300,5714.3,70,30,161.5598696
250,17.62,18.84,350,5714.3,70,30,585.130749
250,17.62,18.84,450,5714.3,70,30,607.0086622
250,17.62,18.84,600,5714.3,70,30,473.8468029
250,17.62,18.84,675,5714.3,70,30,407.2767605
250,17.62,18.84,750,5714.3,70,30,311.2022918
684,9.66,17.42,0,40000,40,16,-1376.120104
684,9.66,17.42,10,40000,40,16,-1403.394256
684,9.66,17.42,30,40000,40,16,-1272.845953
684,9.66,17.42,50,40000,40,16,-928.1984334
684,9.66,17.42,100,40000,40,16,-528.7206266
684,9.66,17.42,150,40000,40,16,-275.4569191
684,9.66,17.42,200,40000,40,16,-48.30287206
684,9.66,17.42,250,40000,40,16,32.63707572
684,9.66,17.42,300,40000,40,16,215.4046997
684,9.66,17.42,400,40000,40,16,421.6710183
684,9.66,17.42,500,40000,40,16,419.0600522
